stereotype,geometric_mean_correlation,rank
category,4.185809119514611,10
datatype,2.3882042134966968,21
event,5.077113667124644,5
kind,5.541515433898632,3
mode,3.7378124553378775,16
phase,3.4682344060891976,18
quality,4.155726584723412,11
relator,4.472255490122853,9
role,4.016145215578686,14
roleMixin,3.9797203104496,15
subkind,4.076919750441168,12
type,6.465431977019234,1
none_c,2.1656677008789784,22
characterization,4.987780494177535,6
componentOf,4.036500400743632,13
externalDependence,4.916015752878221,7
instantiation,6.3942773571233005,2
material,3.728970331886329,17
mediation,4.67247060680689,8
participation,5.361811165662683,4
none_r,2.697158094974234,19
other_r,2.651206787000363,20
