stereotype,total_correlation_model_wise,rank_total_correlation_model_wise
category,3.2450353873091338,16
collective,3.320036125383206,15
datatype,1.8045525652412082,23
event,5.144664932057651,2
kind,4.8221439852891566,4
mixin,1.6415320011074788,24
mode,3.1571218324829857,18
phase,2.8909836689285022,20
quality,4.030407710253075,10
relator,3.552284122922387,13
role,3.6490003894465612,12
roleMixin,3.2370375285320794,17
situation,4.118100496431779,8
subkind,2.6557062428264615,21
type,4.751853046259318,5
characterization,4.401419822963844,7
componentOf,2.417889491591826,22
derivation,3.47041312147522,14
externalDependence,4.717240556440011,6
instantiation,5.178606865011341,1
material,3.8190762716562965,11
mediation,4.07414982959512,9
memberOf,2.8975775122117073,19
participation,4.884378657479224,3
