Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.45423253442121364,4,0.30915254237288137
20.0,8,0.6569352371239163,8,0.5288135593220339
30.0,12,0.8008669046404896,12,0.672542372881356
40.0,16,0.88092809790923,16,0.7993220338983051
50.0,20,0.9316675165731769,20,0.8759322033898305
60.0,24,0.9644314125446201,24,0.9254237288135593
70.0,28,0.9808771035186129,28,0.96
80.0,32,0.99209586945436,32,0.9830508474576272
90.0,36,0.9991075981642019,36,0.9959322033898305
100.0,40,1.0,40,1.0
