Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,969,1,969,12.353391126976032
mediation,929,2,1898,24.196838347781743
subkind,918,3,2816,35.90005099439061
role,747,4,3563,45.423253442121364
relator,531,5,4094,52.19275879653238
material,397,6,4491,57.25395206527282
characterization,339,7,4830,61.57572667006629
category,323,8,5153,65.69352371239164
event,308,9,5461,69.62009178990311
componentOf,295,10,5756,73.38092809790922
phase,265,11,6021,76.7593064762876
roleMixin,261,12,6282,80.08669046404896
mode,200,13,6482,82.63640999490056
quality,162,14,6644,84.70168281489036
derivation,150,15,6794,86.61397246302907
participation,116,16,6910,88.092809790923
collective,115,17,7025,89.55889852116267
datatype,108,18,7133,90.93574706782253
memberOf,98,19,7231,92.18510963793982
type,77,20,7308,93.16675165731769
externalDependence,71,21,7379,94.07190209077001
situation,71,22,7450,94.97705252422234
instantiation,63,23,7513,95.7802141764406
enumeration,52,24,7565,96.443141254462
historicalDependence,35,25,7600,96.88934217236104
manifestation,34,26,7634,97.32279449260581
creation,34,27,7668,97.75624681285059
bringsAbout,26,28,7694,98.08771035186129
mixin,24,29,7718,98.3936766955635
historicalRole,23,30,7741,98.68689444161143
subCollectionOf,21,31,7762,98.95461499235084
phaseMixin,20,32,7782,99.209586945436
quantity,17,33,7799,99.42631310555838
triggers,15,34,7814,99.61754207037225
comparative,14,35,7828,99.79602243753187
historicalRoleMixin,9,36,7837,99.9107598164202
termination,3,37,7840,99.94900560938297
abstract,2,38,7842,99.97450280469148
participational,2,39,7844,100.0
subQuantityOf,0,40,7844,100.0
