Stereotype,x_value,y_value,quadrant
abstract,0.0108695652173913,0.0014285714285714,Q3
category,0.717391304347826,0.0942857142857142,Q1
collective,0.2826086956521739,0.0371428571428571,Q1
datatype,0.217391304347826,0.0285714285714285,Q1
enumeration,0.0543478260869565,0.0071428571428571,Q3
event,0.4456521739130434,0.0585714285714285,Q1
historicalRole,0.0434782608695652,0.0057142857142857,Q3
historicalRoleMixin,0.0326086956521739,0.0042857142857142,Q3
kind,0.8369565217391305,0.11,Q1
mixin,0.1521739130434782,0.02,Q3
mode,0.5,0.0657142857142857,Q1
phase,0.358695652173913,0.0471428571428571,Q1
phaseMixin,0.0869565217391304,0.0114285714285714,Q3
quality,0.4565217391304347,0.06,Q1
quantity,0.0760869565217391,0.01,Q3
relator,0.7717391304347826,0.1014285714285714,Q1
role,0.6739130434782609,0.0885714285714285,Q1
roleMixin,0.4347826086956521,0.0571428571428571,Q1
situation,0.1847826086956521,0.0242857142857142,Q3
subkind,0.75,0.0985714285714285,Q1
type,0.217391304347826,0.0285714285714285,Q1
none,0.1739130434782608,0.0228571428571428,Q3
other,0.1304347826086956,0.0171428571428571,Q3
