Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,62,1,62,6.70995670995671
none_r,62,2,124,13.41991341991342
relator,56,3,180,19.480519480519483
subkind,52,4,232,25.108225108225106
category,50,5,282,30.519480519480517
role,49,6,331,35.82251082251082
mediation,49,7,380,41.125541125541126
characterization,45,8,425,45.995670995671
mode,34,9,459,49.67532467532468
quality,32,10,491,53.13852813852814
event,32,11,523,56.6017316017316
roleMixin,30,12,553,59.84848484848485
material,29,13,582,62.98701298701299
phase,26,14,608,65.80086580086581
derivation,24,15,632,68.3982683982684
componentOf,22,16,654,70.77922077922078
participation,22,17,676,73.16017316017316
externalDependence,18,18,694,75.10822510822511
collective,18,19,712,77.05627705627705
datatype,17,20,729,78.8961038961039
other_r,17,21,746,80.73593073593074
type,16,22,762,82.46753246753246
instantiation,14,23,776,83.98268398268398
situation,14,24,790,85.4978354978355
creation,14,25,804,87.01298701298701
memberOf,14,26,818,88.52813852813853
historicalDependence,13,27,831,89.93506493506493
mixin,11,28,842,91.12554112554112
manifestation,11,29,853,92.31601731601732
none_c,11,30,864,93.5064935064935
bringsAbout,10,31,874,94.58874458874459
other_c,9,32,883,95.56277056277057
phaseMixin,8,33,891,96.42857142857143
triggers,8,34,899,97.2943722943723
quantity,5,35,904,97.83549783549783
historicalRole,4,36,908,98.26839826839827
enumeration,4,37,912,98.7012987012987
comparative,4,38,916,99.13419913419914
historicalRoleMixin,3,39,919,99.45887445887446
participational,2,40,921,99.67532467532467
termination,2,41,923,99.89177489177489
abstract,1,42,924,100.0
subQuantityOf,0,43,924,100.0
subCollectionOf,0,44,924,100.0
