model,total_classes,stereotyped_classes,non_stereotyped_classes,ontouml_classes,non_ontouml_classes,total_relations,stereotyped_relations,non_stereotyped_relations,ontouml_relations,non_ontouml_relations,ratio_classes_relations,ratio_stereotyped_classes_relations,ratio_stereotyped_classes_total,ratio_non_stereotyped_classes_total,ratio_stereotyped_relations_total,ratio_non_stereotyped_relations_total,ratio_ontouml_classes_total,ratio_non_ontouml_classes_total,ratio_ontouml_relations_total,ratio_non_ontouml_relations_total,unique_class_stereotypes,unique_relation_stereotypes
abel2015petroleum-system,29,29,0,29,0,21,12,9,3,18,1.380952380952381,2.4166666666666665,1.0,0.0,0.5714285714285714,0.42857142857142855,1.0,0.0,0.14285714285714285,0.8571428571428571,9,1
abrahao2018agriculture-operations,22,22,0,20,2,53,24,29,23,30,0.41509433962264153,0.9166666666666666,1.0,0.0,0.4528301886792453,0.5471698113207547,0.9090909090909091,0.09090909090909091,0.4339622641509434,0.5660377358490566,4,5
aguiar2018rdbs-o,43,43,0,43,0,31,2,29,2,29,1.3870967741935485,21.5,1.0,0.0,0.06451612903225806,0.9354838709677419,1.0,0.0,0.06451612903225806,0.9354838709677419,6,1
albuquerque2011ontobio,147,147,0,147,0,43,38,5,38,5,3.4186046511627906,3.8684210526315788,1.0,0.0,0.8837209302325582,0.11627906976744186,1.0,0.0,0.8837209302325582,0.11627906976744186,11,6
andersson2018value-ascription,13,13,0,6,7,17,3,14,3,14,0.7647058823529411,4.333333333333333,1.0,0.0,0.17647058823529413,0.8235294117647058,0.46153846153846156,0.5384615384615384,0.17647058823529413,0.8235294117647058,3,1
barcelos2013normative-acts,45,45,0,45,0,18,18,0,18,0,2.5,2.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,3
barcelos2015transport-networks,487,487,0,487,0,348,348,0,336,12,1.3994252873563218,1.3994252873563218,1.0,0.0,1.0,0.0,1.0,0.0,0.9655172413793104,0.034482758620689655,8,5
brazilian-governmental-organizational-structures,15,15,0,15,0,7,7,0,2,5,2.142857142857143,2.142857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,0.7142857142857143,4,1
carolla2014campus-management,17,17,0,17,0,23,13,10,13,10,0.7391304347826086,1.3076923076923077,1.0,0.0,0.5652173913043478,0.43478260869565216,1.0,0.0,0.5652173913043478,0.43478260869565216,3,3
castro2012cloudvulnerability,32,32,0,32,0,27,26,1,21,6,1.1851851851851851,1.2307692307692308,1.0,0.0,0.9629629629629629,0.037037037037037035,1.0,0.0,0.7777777777777778,0.2222222222222222,5,3
cmpo2017,55,53,2,53,2,66,6,60,6,60,0.8333333333333334,8.833333333333334,0.9636363636363636,0.03636363636363636,0.09090909090909091,0.9090909090909091,0.9636363636363636,0.03636363636363636,0.09090909090909091,0.9090909090909091,9,1
dpo2017,40,40,0,40,0,51,7,44,7,44,0.7843137254901961,5.714285714285714,1.0,0.0,0.13725490196078433,0.8627450980392157,1.0,0.0,0.13725490196078433,0.8627450980392157,6,2
ferreira2015ontoemergeplan,147,147,0,135,12,121,107,14,36,85,1.2148760330578512,1.3738317757009346,1.0,0.0,0.8842975206611571,0.11570247933884298,0.9183673469387755,0.08163265306122448,0.2975206611570248,0.7024793388429752,13,5
franco2018rpg,23,23,0,20,3,24,12,12,12,12,0.9583333333333334,1.9166666666666667,1.0,0.0,0.5,0.5,0.8695652173913043,0.13043478260869565,0.5,0.5,7,4
gailly2016value,12,12,0,4,8,15,0,15,0,15,0.8,nan,1.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,3,0
grueau2013towards,13,6,7,0,13,3,0,3,0,3,4.333333333333333,nan,0.46153846153846156,0.5384615384615384,0.0,1.0,0.0,1.0,0.0,1.0,0,0
guarino2016value,18,18,0,18,0,37,25,12,16,21,0.4864864864864865,0.72,1.0,0.0,0.6756756756756757,0.32432432432432434,1.0,0.0,0.43243243243243246,0.5675675675675675,6,2
guarino2018rea,11,11,0,11,0,12,4,8,4,8,0.9166666666666666,2.75,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,6,2
guizzardi2005ontological,43,43,0,43,0,25,21,4,16,9,1.72,2.0476190476190474,1.0,0.0,0.84,0.16,1.0,0.0,0.64,0.36,11,6
junior2018o4c,11,11,0,11,0,5,5,0,5,0,2.2,2.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,3
kostov2017towards,58,52,6,42,16,35,3,32,2,33,1.6571428571428573,17.333333333333332,0.896551724137931,0.10344827586206896,0.08571428571428572,0.9142857142857143,0.7241379310344828,0.27586206896551724,0.05714285714285714,0.9428571428571428,6,1
laurier2018rea,23,23,0,23,0,18,1,17,0,18,1.2777777777777777,23.0,1.0,0.0,0.05555555555555555,0.9444444444444444,1.0,0.0,0.0,1.0,4,0
martinez2013human-genome,10,10,0,10,0,15,15,0,12,3,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.2,4,5
mgic-antt2011,3760,3760,0,3760,0,1782,1778,4,1670,112,2.1099887766554435,2.1147356580427448,1.0,0.0,0.9977553310886644,0.002244668911335578,1.0,0.0,0.9371492704826038,0.06285072951739619,13,8
nardi2015ufo-s,27,27,0,27,0,48,48,0,23,25,0.5625,0.5625,1.0,0.0,1.0,0.0,1.0,0.0,0.4791666666666667,0.5208333333333334,6,5
o3ontology2015,303,236,67,233,70,220,145,75,70,150,1.3772727272727272,1.6275862068965516,0.7788778877887789,0.22112211221122113,0.6590909090909091,0.3409090909090909,0.768976897689769,0.23102310231023102,0.3181818181818182,0.6818181818181818,11,8
oliveira2007collaboration,20,20,0,16,4,20,0,20,0,20,1.0,nan,1.0,0.0,0.0,1.0,0.8,0.2,0.0,1.0,7,0
pereira2015doacao-orgaos,25,25,0,25,0,9,6,3,6,3,2.7777777777777777,4.166666666666667,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,0.3333333333333333,7,1
quality-assurance-process-ontology2017,37,16,21,16,21,28,1,27,1,27,1.3214285714285714,16.0,0.43243243243243246,0.5675675675675675,0.03571428571428571,0.9642857142857143,0.43243243243243246,0.5675675675675675,0.03571428571428571,0.9642857142857143,3,1
ramirez2015userfeedback,50,50,0,50,0,36,28,8,28,8,1.3888888888888888,1.7857142857142858,1.0,0.0,0.7777777777777778,0.2222222222222222,1.0,0.0,0.7777777777777778,0.2222222222222222,8,3
rodrigues2017urinary-profiles,63,63,0,48,15,62,41,21,22,40,1.0161290322580645,1.5365853658536586,1.0,0.0,0.6612903225806451,0.3387096774193548,0.7619047619047619,0.23809523809523808,0.3548387096774194,0.6451612903225806,11,4
sales2018competition,27,27,0,27,0,31,0,31,0,31,0.8709677419354839,nan,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,11,0
sales2018cover,63,63,0,63,0,58,45,13,45,13,1.0862068965517242,1.4,1.0,0.0,0.7758620689655172,0.22413793103448276,1.0,0.0,0.7758620689655172,0.22413793103448276,8,9
services2015,124,33,91,33,91,91,59,32,38,53,1.3626373626373627,0.559322033898305,0.2661290322580645,0.7338709677419355,0.6483516483516484,0.3516483516483517,0.2661290322580645,0.7338709677419355,0.4175824175824176,0.5824175824175825,6,7
silva2012itarchitecture,84,84,0,84,0,33,6,27,6,27,2.5454545454545454,14.0,1.0,0.0,0.18181818181818182,0.8181818181818182,1.0,0.0,0.18181818181818182,0.8181818181818182,5,2
spmo2017,34,17,17,17,17,27,2,25,2,25,1.2592592592592593,8.5,0.5,0.5,0.07407407407407407,0.9259259259259259,0.5,0.5,0.07407407407407407,0.9259259259259259,5,1
spo2017,109,75,34,75,34,89,2,87,2,87,1.2247191011235956,37.5,0.6880733944954128,0.3119266055045872,0.02247191011235955,0.9775280898876404,0.6880733944954128,0.3119266055045872,0.02247191011235955,0.9775280898876404,9,1
zhou2017hazard-ontology-robotic-strolling,13,13,0,13,0,14,0,14,0,14,0.9285714285714286,nan,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0
zhou2017hazard-ontology-train-control,25,25,0,25,0,30,0,30,0,30,0.8333333333333334,nan,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,0
