Stereotype,DistanceFromOrigin,Rank
mediation,48.12168730973869,1
none,30.739305053117786,2
material,19.015607833051362,3
other,18.895167329102122,4
componentOf,17.00713286744673,5
characterization,12.27532931815694,6
memberOf,10.958792125566003,7
derivation,9.80729908480833,8
subCollectionOf,4.053301233784072,9
externalDependence,2.018935333559234,10
subQuantityOf,2.002673599411256,11
comparative,1.1258501874010005,12
participation,1.009467666779617,13
historicalDependence,0.0,14
bringsAbout,0.0,14
creation,0.0,14
participational,0.0,14
instantiation,0.0,14
manifestation,0.0,14
termination,0.0,14
triggers,0.0,14
