Stereotype,DistanceFromOrigin,Rank
none,0.8506457571951014,1
material,0.5670971714634009,2
mediation,0.5316535982469384,3
other,0.49621002503047584,4
componentOf,0.46076645181401327,5
characterization,0.3898793053810881,6
memberOf,0.3544357321646256,7
derivation,0.318992158948163,8
subCollectionOf,0.1417742928658502,9
subQuantityOf,0.0708871464329251,10
externalDependence,0.0708871464329251,10
participation,0.0354435732164625,11
comparative,0.0354435732164625,11
historicalDependence,0.0,12
bringsAbout,0.0,12
creation,0.0,12
participational,0.0,12
instantiation,0.0,12
manifestation,0.0,12
termination,0.0,12
triggers,0.0,12
