Construct,Total Frequency,Total Frequency per Group,Group Frequency,Ubiquity Index (Group Frequency per Group),Global Relative Frequency (Occurrence-wise),Global Relative Frequency (Group-wise)
abstract,1,0.008264462809917356,1,0.008264462809917356,8.20950660865282e-05,0.0011001100110011
category,588,4.859504132231405,86,0.7107438016528925,0.04827189885887858,0.09460946094609461
collective,132,1.0909090909090908,35,0.2892561983471074,0.010836548723421721,0.03850385038503851
datatype,88,0.7272727272727273,26,0.21487603305785125,0.007224365815614481,0.028602860286028604
enumeration,65,0.5371900826446281,8,0.06611570247933884,0.005336179295624333,0.0088008800880088
event,474,3.9173553719008263,53,0.4380165289256198,0.03891306132501437,0.058305830583058306
historicalRole,23,0.19008264462809918,4,0.03305785123966942,0.0018881865199901486,0.0044004400440044
historicalRoleMixin,9,0.0743801652892562,3,0.024793388429752067,0.0007388555947787538,0.0033003300330033004
kind,1598,13.206611570247935,101,0.8347107438016529,0.13118791560627208,0.1111111111111111
mixin,84,0.6942148760330579,22,0.18181818181818182,0.006895985551268369,0.0242024202420242
mode,545,4.5041322314049586,58,0.4793388429752066,0.04474181101715787,0.0638063806380638
phase,332,2.743801652892562,41,0.33884297520661155,0.02725556194072736,0.045104510451045104
phaseMixin,20,0.1652892561983471,8,0.06611570247933884,0.001641901321730564,0.0088008800880088
quality,251,2.074380165289256,44,0.36363636363636365,0.02060586158771858,0.0484048404840484
quantity,44,0.36363636363636365,12,0.09917355371900827,0.0036121829078072406,0.013201320132013201
relator,1260,10.413223140495868,91,0.7520661157024794,0.10343978326902553,0.1001100110011001
role,1859,15.363636363636363,84,0.6942148760330579,0.1526147278548559,0.0924092409240924
roleMixin,577,4.768595041322314,54,0.4462809917355372,0.04736885313192677,0.0594059405940594
situation,82,0.6776859504132231,21,0.17355371900826447,0.006731795419095313,0.0231023102310231
subkind,2032,16.793388429752067,88,0.7272727272727273,0.1668171742878253,0.0968096809680968
type,213,1.7603305785123966,26,0.21487603305785125,0.017486249076430507,0.028602860286028604
none,380,3.1404958677685952,23,0.19008264462809918,0.031196125112880717,0.025302530253025302
other,1524,12.59504132231405,20,0.1652892561983471,0.12511288071586898,0.022002200220022004
