model,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none,other
abel2015petroleum-system,0,0,0,1,5,3,0,0,4,1,0,0,0,2,6,0,3,0,4,0,0,0,0
abrahao2018agriculture-operations,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,2,0,0,2
aguiar2018rdbs-o,0,4,1,0,0,0,0,0,12,0,3,0,0,0,0,0,2,0,0,21,0,0,0
albuquerque2011ontobio,0,35,3,1,0,0,0,0,9,8,16,0,0,0,3,10,12,0,0,41,9,0,0
andersson2018value-ascription,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7
barcelos2013normative-acts,0,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,27,0,0,0
barcelos2015transport-networks,0,32,1,0,0,0,0,0,79,0,0,2,0,0,0,42,235,25,0,71,0,0,0
brazilian-governmental-organizational-structures,0,4,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,0,0,0
carolla2014campus-management,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,5,0,0,0,0,0,0
castro2012cloudvulnerability,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,6,3,0,0,10,0,0,0
cmpo2017,0,4,0,0,0,22,0,0,5,1,1,6,0,0,0,0,7,2,0,5,0,2,0
dpo2017,0,3,0,0,0,18,0,0,5,0,0,0,0,0,0,0,2,1,0,11,0,0,0
ferreira2015ontoemergeplan,0,32,1,2,0,3,0,0,9,4,18,0,0,0,0,9,15,14,2,2,24,0,12
franco2018rpg,0,4,2,0,0,0,0,0,8,0,3,0,0,0,0,1,1,0,0,1,0,0,3
gailly2016value,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,8
guarino2016value,0,3,0,0,0,0,0,0,0,1,0,0,0,7,0,4,2,1,0,0,0,0,0
guarino2018rea,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,3,0,2,0,0,0
guizzardi2005ontological,0,7,1,2,0,0,0,0,9,2,4,4,0,0,1,3,7,0,0,3,0,0,0
junior2018o4c,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0
kostov2017towards,0,1,0,0,0,23,0,0,7,0,0,0,0,0,0,0,8,0,0,1,2,6,10
laurier2018rea,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,4,6,0,0,0,0,0
martinez2013human-genome,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0
mgic-antt2011,0,98,48,0,15,0,0,0,429,37,171,109,0,0,20,758,1052,219,0,782,22,0,0
nardi2015ufo-s,0,3,1,0,0,6,0,0,0,0,6,0,0,0,0,3,0,8,0,0,0,0,0
o3ontology2015,0,32,0,0,0,13,0,0,9,13,18,2,0,0,0,25,31,17,0,13,60,67,3
oliveira2007collaboration,0,3,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,4
pereira2015doacao-orgaos,0,3,0,0,0,0,0,0,4,0,0,8,0,0,0,2,4,2,0,2,0,0,0
quality-assurance-process-ontology2017,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,21,0
ramirez2015userfeedback,0,1,0,0,3,0,0,0,9,0,22,0,0,0,0,4,6,2,0,3,0,0,0
rodrigues2017urinary-profiles,0,2,0,0,0,11,0,0,1,0,3,1,0,0,3,6,10,6,4,1,0,0,15
sales2018competition,0,2,2,0,0,0,0,0,0,1,2,2,0,1,0,4,2,8,0,2,1,0,0
sales2018cover,0,12,0,0,0,15,0,0,0,0,0,0,0,3,0,2,0,13,4,12,2,0,0
services2015,0,4,1,0,0,0,0,0,5,0,8,0,0,0,0,5,0,10,0,0,0,91,0
silva2012itarchitecture,0,9,0,0,0,0,0,0,27,0,0,0,0,0,0,10,6,0,0,32,0,0,0
spmo2017,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,1,0,1,0,1,0,17,0
spo2017,0,7,0,0,0,17,0,0,11,0,10,0,0,0,0,1,5,3,0,2,19,34,0
zhou2017hazard-ontology-robotic-strolling,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0
zhou2017hazard-ontology-train-control,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,5,10,0,0,0,0,0,0
