model_id,stereotype,count
abel2015petroleum-system,quantity,6
abel2015petroleum-system,enumeration,5
abel2015petroleum-system,kind,4
abel2015petroleum-system,situation,4
abel2015petroleum-system,event,3
abel2015petroleum-system,role,3
abel2015petroleum-system,quality,2
abel2015petroleum-system,mixin,1
abel2015petroleum-system,datatype,1
albuquerque2011ontobio,subkind,41
albuquerque2011ontobio,category,35
albuquerque2011ontobio,mode,16
albuquerque2011ontobio,role,12
albuquerque2011ontobio,relator,10
albuquerque2011ontobio,kind,9
albuquerque2011ontobio,type,9
albuquerque2011ontobio,mixin,8
albuquerque2011ontobio,collective,3
albuquerque2011ontobio,quantity,3
albuquerque2011ontobio,datatype,1
barcelos2013normative-acts,subkind,27
barcelos2013normative-acts,kind,10
barcelos2013normative-acts,collective,5
barcelos2013normative-acts,datatype,3
barcelos2015transport-networks,role,235
barcelos2015transport-networks,kind,79
barcelos2015transport-networks,subkind,71
barcelos2015transport-networks,relator,42
barcelos2015transport-networks,category,32
barcelos2015transport-networks,roleMixin,25
barcelos2015transport-networks,phase,2
barcelos2015transport-networks,collective,1
brazilian-governmental-organizational-structures,kind,5
brazilian-governmental-organizational-structures,category,4
brazilian-governmental-organizational-structures,subkind,3
brazilian-governmental-organizational-structures,phase,3
carolla2014campus-management,kind,7
carolla2014campus-management,role,5
carolla2014campus-management,relator,5
castro2012cloudvulnerability,kind,11
castro2012cloudvulnerability,subkind,10
castro2012cloudvulnerability,relator,6
castro2012cloudvulnerability,role,3
castro2012cloudvulnerability,category,2
cmpo2017,event,22
cmpo2017,role,7
cmpo2017,phase,6
cmpo2017,subkind,5
cmpo2017,kind,5
cmpo2017,category,4
cmpo2017,roleMixin,2
cmpo2017,mode,1
cmpo2017,mixin,1
dpo2017,event,18
dpo2017,subkind,11
dpo2017,kind,5
dpo2017,category,3
dpo2017,role,2
dpo2017,roleMixin,1
ferreira2015ontoemergeplan,category,32
ferreira2015ontoemergeplan,type,24
ferreira2015ontoemergeplan,mode,18
ferreira2015ontoemergeplan,role,15
ferreira2015ontoemergeplan,roleMixin,14
ferreira2015ontoemergeplan,kind,9
ferreira2015ontoemergeplan,relator,9
ferreira2015ontoemergeplan,disposition,5
ferreira2015ontoemergeplan,proposition,4
ferreira2015ontoemergeplan,mixin,4
ferreira2015ontoemergeplan,materialrelation,3
ferreira2015ontoemergeplan,event,3
ferreira2015ontoemergeplan,situation,2
ferreira2015ontoemergeplan,subkind,2
ferreira2015ontoemergeplan,datatype,2
ferreira2015ontoemergeplan,collective,1
gailly2016value,Agent,2
gailly2016value,relator,2
gailly2016value,object,1
gailly2016value,disposition,1
gailly2016value,event,1
gailly2016value,situation,1
gailly2016value,goal,1
gailly2016value,intention,1
gailly2016value,belief,1
gailly2016value,proposition,1
grueau2013towards,MentalMode,1
grueau2013towards,Activity,1
grueau2013towards,agent,1
grueau2013towards,InstitutionalAgent,1
grueau2013towards,HumanAgent,1
grueau2013towards,Organization,1
guarino2016value,quality,7
guarino2016value,relator,4
guarino2016value,category,3
guarino2016value,role,2
guarino2016value,roleMixin,1
guarino2016value,mixin,1
guizzardi2005ontological,kind,9
guizzardi2005ontological,category,7
guizzardi2005ontological,role,7
guizzardi2005ontological,mode,4
guizzardi2005ontological,phase,4
guizzardi2005ontological,relator,3
guizzardi2005ontological,subkind,3
guizzardi2005ontological,datatype,2
guizzardi2005ontological,mixin,2
guizzardi2005ontological,quantity,1
guizzardi2005ontological,collective,1
kostov2017towards,event,23
kostov2017towards,role,8
kostov2017towards,kind,7
kostov2017towards,trope,4
kostov2017towards,object,3
kostov2017towards,commitment,2
kostov2017towards,type,2
kostov2017towards,service,1
kostov2017towards,category,1
kostov2017towards,subkind,1
martinez2013human-genome,collective,4
martinez2013human-genome,role,3
martinez2013human-genome,relator,2
martinez2013human-genome,kind,1
mgic-antt2011,role,1052
mgic-antt2011,subkind,782
mgic-antt2011,relator,758
mgic-antt2011,kind,429
mgic-antt2011,roleMixin,219
mgic-antt2011,mode,171
mgic-antt2011,phase,109
mgic-antt2011,category,98
mgic-antt2011,collective,48
mgic-antt2011,mixin,37
mgic-antt2011,type,22
mgic-antt2011,quantity,20
mgic-antt2011,enumeration,15
nardi2015ufo-s,roleMixin,8
nardi2015ufo-s,event,6
nardi2015ufo-s,mode,6
nardi2015ufo-s,category,3
nardi2015ufo-s,relator,3
nardi2015ufo-s,collective,1
o3ontology2015,type,60
o3ontology2015,category,32
o3ontology2015,role,31
o3ontology2015,relator,25
o3ontology2015,mode,18
o3ontology2015,roleMixin,17
o3ontology2015,subkind,13
o3ontology2015,event,13
o3ontology2015,mixin,13
o3ontology2015,kind,9
o3ontology2015,Proposition,3
o3ontology2015,phase,2
oliveira2007collaboration,kind,4
oliveira2007collaboration,atomicevent,4
oliveira2007collaboration,subkind,4
oliveira2007collaboration,category,3
oliveira2007collaboration,event,2
oliveira2007collaboration,roleMixin,1
oliveira2007collaboration,datatype,1
oliveira2007collaboration,mode,1
pereira2015doacao-orgaos,phase,8
pereira2015doacao-orgaos,kind,4
pereira2015doacao-orgaos,role,4
pereira2015doacao-orgaos,category,3
pereira2015doacao-orgaos,subkind,2
pereira2015doacao-orgaos,relator,2
pereira2015doacao-orgaos,roleMixin,2
quality-assurance-process-ontology2017,event,9
quality-assurance-process-ontology2017,role,4
quality-assurance-process-ontology2017,subkind,3
ramirez2015userfeedback,mode,22
ramirez2015userfeedback,kind,9
ramirez2015userfeedback,role,6
ramirez2015userfeedback,relator,4
ramirez2015userfeedback,enumeration,3
ramirez2015userfeedback,subkind,3
ramirez2015userfeedback,roleMixin,2
ramirez2015userfeedback,category,1
rodrigues2017urinary-profiles,event,11
rodrigues2017urinary-profiles,role,10
rodrigues2017urinary-profiles,processualrole,7
rodrigues2017urinary-profiles,participation,7
rodrigues2017urinary-profiles,roleMixin,6
rodrigues2017urinary-profiles,relator,6
rodrigues2017urinary-profiles,situation,4
rodrigues2017urinary-profiles,quantity,3
rodrigues2017urinary-profiles,mode,3
rodrigues2017urinary-profiles,category,2
rodrigues2017urinary-profiles,subkind,1
