Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
mediation,466,1,466,19.53059513830679
role,347,2,813,34.07376362112322
kind,326,3,1139,47.736797988264875
subkind,267,4,1406,58.92707460184409
relator,228,5,1634,68.48281642917016
componentOf,137,6,1771,74.2246437552389
material,123,7,1894,79.37971500419113
phase,91,8,1985,83.19362950544846
derivation,72,9,2057,86.21123218776194
collective,66,10,2123,88.97736797988264
memberOf,52,11,2175,91.15674769488685
category,41,12,2216,92.87510477787092
datatype,37,13,2253,94.42581726739313
characterization,33,14,2286,95.80888516345348
roleMixin,30,15,2316,97.06621961441743
mode,21,16,2337,97.94635373009221
quality,18,17,2355,98.70075440067058
subCollectionOf,14,18,2369,99.2875104777871
type,6,19,2375,99.53897736797988
mixin,4,20,2379,99.70662196144174
enumeration,4,21,2383,99.8742665549036
quantity,1,22,2384,99.91617770326907
comparative,1,23,2385,99.95808885163453
abstract,1,24,2386,100.0
historicalRoleMixin,0,25,2386,100.0
historicalRole,0,26,2386,100.0
event,0,27,2386,100.0
phaseMixin,0,28,2386,100.0
bringsAbout,0,29,2386,100.0
situation,0,30,2386,100.0
externalDependence,0,31,2386,100.0
creation,0,32,2386,100.0
manifestation,0,33,2386,100.0
instantiation,0,34,2386,100.0
historicalDependence,0,35,2386,100.0
participation,0,36,2386,100.0
participational,0,37,2386,100.0
subQuantityOf,0,38,2386,100.0
termination,0,39,2386,100.0
triggers,0,40,2386,100.0
