Stereotype,x_value,y_value,quadrant
abstract,1,0.0014285714285714,Q3
category,297,0.0942857142857142,Q1
collective,67,0.0371428571428571,Q2
datatype,78,0.0285714285714285,Q1
enumeration,40,0.0071428571428571,Q3
event,346,0.0585714285714285,Q1
historicalRole,23,0.0057142857142857,Q3
historicalRoleMixin,9,0.0042857142857142,Q3
kind,912,0.11,Q1
mixin,17,0.02,Q3
mode,265,0.0657142857142857,Q1
phase,197,0.0471428571428571,Q1
phaseMixin,20,0.0114285714285714,Q3
quality,242,0.06,Q1
quantity,11,0.01,Q3
relator,342,0.1014285714285714,Q1
role,409,0.0885714285714285,Q1
roleMixin,265,0.0571428571428571,Q1
situation,68,0.0242857142857142,Q3
subkind,1007,0.0985714285714285,Q1
type,77,0.0285714285714285,Q2
none,152,0.0228571428571428,Q4
other,52,0.0171428571428571,Q3
