Stereotype,x_value,y_value,quadrant
abstract,0.000204206657137,0.0014285714285714,Q3
category,0.0606493771696957,0.0942857142857142,Q1
collective,0.0136818460281805,0.0371428571428571,Q2
datatype,0.0159281192566877,0.0285714285714285,Q1
enumeration,0.0081682662854809,0.0071428571428571,Q3
event,0.0706555033694098,0.0585714285714285,Q1
historicalRole,0.0046967531141515,0.0057142857142857,Q3
historicalRoleMixin,0.0018378599142332,0.0042857142857142,Q3
kind,0.1862364713089646,0.11,Q1
mixin,0.0034715131713293,0.02,Q3
mode,0.054114764141311,0.0657142857142857,Q1
phase,0.0402287114559934,0.0471428571428571,Q1
phaseMixin,0.0040841331427404,0.0114285714285714,Q3
quality,0.0494180110271594,0.06,Q1
quantity,0.0022462732285072,0.01,Q3
relator,0.0698386767408617,0.1014285714285714,Q1
role,0.0835205227690422,0.0885714285714285,Q1
roleMixin,0.054114764141311,0.0571428571428571,Q1
situation,0.0138860526853175,0.0242857142857142,Q3
subkind,0.2056361037369818,0.0985714285714285,Q1
type,0.0157239125995507,0.0285714285714285,Q2
none,0.0310394118848274,0.0228571428571428,Q4
other,0.0106187461711251,0.0171428571428571,Q3
