stereotype,total_correlation,rank
category,3.717860930074142,10
datatype,1.6388573690810833,21
event,3.9673073327658264,7
kind,4.545483566144078,5
mode,3.041843606338844,16
phase,2.2348287886912654,20
quality,3.558484531422966,13
relator,3.6450517182616426,11
role,3.3483021723709694,14
roleMixin,3.7392959693628622,9
situation,3.63212232166139,12
subkind,3.0291666042863614,17
type,4.793463654885093,2
characterization,4.56384408299312,4
componentOf,2.877780013567986,18
derivation,2.4164905535026087,19
externalDependence,4.262541391167343,6
instantiation,4.977534137265331,1
material,3.080885175560976,15
mediation,3.911891278028584,8
participation,4.592321657397921,3
