Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,651,1,651,12.06672845227062
kind,637,2,1288,23.873957367933272
mediation,451,3,1739,32.23354958294718
role,379,4,2118,39.25857275254865
event,308,5,2426,44.967562557924
characterization,306,6,2732,50.63948100092679
relator,303,7,3035,56.255792400370716
category,278,8,3313,61.40871177015755
material,274,9,3587,66.48748841519925
roleMixin,225,10,3812,70.65801668211307
mode,179,11,3991,73.97590361445782
phase,167,12,4158,77.0713623725672
componentOf,158,13,4316,80.0
quality,144,14,4460,82.66913809082483
participation,116,15,4576,84.81927710843374
derivation,73,16,4649,86.17238183503244
externalDependence,71,17,4720,87.48841519925857
datatype,71,18,4791,88.80444856348471
type,71,19,4862,90.12048192771084
situation,71,20,4933,91.43651529193698
instantiation,63,21,4996,92.60426320667284
collective,49,22,5045,93.51251158480073
enumeration,48,23,5093,94.40222428174235
memberOf,46,24,5139,95.2548656163114
historicalDependence,35,25,5174,95.90361445783132
manifestation,34,26,5208,96.53382761816496
creation,34,27,5242,97.1640407784986
bringsAbout,26,28,5268,97.64596848934198
historicalRole,23,29,5291,98.0722891566265
phaseMixin,20,30,5311,98.44300278035217
mixin,18,31,5329,98.77664504170528
quantity,16,32,5345,99.07321594068583
triggers,15,33,5360,99.35125115848007
comparative,13,34,5373,99.59221501390176
historicalRoleMixin,9,35,5382,99.75903614457832
subCollectionOf,7,36,5389,99.8887859128823
termination,3,37,5392,99.94439295644115
participational,2,38,5394,99.98146431881372
abstract,1,39,5395,100.0
subQuantityOf,0,40,5395,100.0
