Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,83,1,83,7.771535580524344
relator,77,2,160,14.981273408239701
subkind,73,3,233,21.816479400749063
category,69,4,302,28.277153558052436
role,68,5,370,34.644194756554306
mediation,63,6,433,40.54307116104869
characterization,55,7,488,45.69288389513109
event,45,8,533,49.9063670411985
mode,45,9,578,54.11985018726592
roleMixin,42,10,620,58.052434456928836
material,41,11,661,61.89138576779026
quality,36,12,697,65.2621722846442
componentOf,32,13,729,68.25842696629213
phase,31,14,760,71.16104868913857
derivation,29,15,789,73.87640449438202
collective,25,16,814,76.21722846441948
participation,24,17,838,78.46441947565543
datatype,21,18,859,80.4307116104869
memberOf,20,19,879,82.30337078651685
externalDependence,20,20,899,84.17602996254682
situation,19,21,918,85.95505617977528
type,19,22,937,87.73408239700375
mixin,15,23,952,89.13857677902621
instantiation,15,24,967,90.54307116104869
creation,14,25,981,91.85393258426966
historicalDependence,14,26,995,93.16479400749064
manifestation,12,27,1007,94.28838951310861
bringsAbout,11,28,1018,95.31835205992509
triggers,9,29,1027,96.16104868913857
phaseMixin,8,30,1035,96.91011235955057
quantity,8,31,1043,97.65917602996255
enumeration,7,32,1050,98.31460674157303
historicalRole,4,33,1054,98.68913857677903
comparative,4,34,1058,99.06367041198502
historicalRoleMixin,3,35,1061,99.34456928838952
participational,2,36,1063,99.53183520599251
termination,2,37,1065,99.71910112359551
subCollectionOf,2,38,1067,99.90636704119851
abstract,1,39,1068,100.0
subQuantityOf,0,40,1068,100.0
