stereotype,total_correlation,rank
category,4.343384020194877,9
collective,4.164231253967716,13
datatype,3.5844675884900674,23
event,4.880937026327188,3
kind,4.665853085168472,5
mixin,3.9786870803569165,15
mode,4.3684942955993415,8
phase,3.1519653175079956,24
quality,4.744611227776677,4
relator,3.6828856498104408,22
role,3.76640996129115,20
roleMixin,5.086531910176714,1
situation,3.925223971068738,19
subkind,4.270149436927135,11
type,3.7304534552599957,21
none_c,4.33612726216644,10
other_c,3.096101767107511,25
characterization,4.992137872891961,2
componentOf,3.962732074605558,16
derivation,4.543273351496743,7
material,3.9458615569369186,18
mediation,4.59474577899123,6
memberOf,4.053941210141194,14
none_r,4.178207941301073,12
other_r,3.951580089452831,17
