Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
kind,154,1,154,7.149489322191272
relator,141,2,295,13.695450324976788
role,132,3,427,19.823584029712162
subkind,132,4,559,25.951717734447538
none_r,129,5,688,31.940575673166204
mediation,123,6,811,37.65088207985144
category,111,7,922,42.804085422469825
characterization,89,8,1011,46.93593314763231
material,87,9,1098,50.974930362116986
roleMixin,75,10,1173,54.456824512534816
mode,73,11,1246,57.84586815227484
componentOf,67,12,1313,60.95636025998144
phase,65,13,1378,63.97400185701021
collective,63,14,1441,66.89879294336119
event,62,15,1503,69.77715877437326
derivation,62,16,1565,72.65552460538532
other_r,56,17,1621,75.25533890436398
quality,54,18,1675,77.7623026926648
memberOf,50,19,1725,80.08356545961003
datatype,37,20,1762,81.8012999071495
participation,37,21,1799,83.51903435468896
type,35,22,1834,85.1439182915506
externalDependence,28,23,1862,86.44382544103992
mixin,27,24,1889,87.69730733519035
creation,25,25,1914,88.85793871866295
situation,24,26,1938,89.97214484679665
historicalDependence,22,27,1960,90.99350046425255
instantiation,22,28,1982,92.01485608170844
none_c,22,29,2004,93.03621169916435
manifestation,20,30,2024,93.96471680594243
other_c,18,31,2042,94.80037140204271
bringsAbout,15,32,2057,95.49675023212629
quantity,14,33,2071,96.14670380687093
triggers,12,34,2083,96.7038068709378
subCollectionOf,11,35,2094,97.21448467966573
enumeration,11,36,2105,97.72516248839369
historicalRole,9,37,2114,98.14298978644382
phaseMixin,8,38,2122,98.51439182915506
comparative,8,39,2130,98.88579387186628
historicalRoleMixin,6,40,2136,99.16434540389972
termination,6,41,2142,99.44289693593315
participational,5,42,2147,99.67502321262766
subQuantityOf,4,43,2151,99.86072423398329
abstract,3,44,2154,100.0
