stereotype,total_correlation,rank
category,3.8368987301009527,7
event,4.157941286564329,4
kind,3.9338176758521746,5
mode,3.847552008822829,6
phase,2.777521690148867,19
quality,3.464678142883302,16
relator,4.502901453920051,2
role,3.6089869890723767,13
roleMixin,3.0930363603732696,18
subkind,3.6038179851831087,14
type,3.6815998365980382,10
none_c,2.2380268539021246,20
characterization,4.470902927102732,3
componentOf,3.5699816533365185,15
derivation,3.375804965696883,17
material,3.6214889755406396,12
mediation,4.934483122978565,1
memberOf,3.6482776887286503,11
participation,3.7447107774221244,9
none_r,3.764300790575117,8
other_r,1.9922845161532958,21
