Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.44368436265536176,4,0.26485655737704916
20.0,8,0.6759321707293574,8,0.47848360655737704
30.0,13,0.8201657192407746,13,0.6516393442622951
40.0,17,0.8957028615473552,17,0.7689549180327869
50.0,22,0.9511995375277001,22,0.8652663934426229
60.0,26,0.9705655650833414,26,0.9118852459016393
70.0,30,0.9837171211099335,30,0.9477459016393442
80.0,35,0.9934483090856537,35,0.9774590163934426
90.0,39,0.9977839868966182,39,0.9918032786885246
100.0,44,1.0,44,1.0
