Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none_r,2514,1,2514,11.403429193504492
mediation,2481,2,4995,22.65717136895582
subkind,2373,3,7368,33.42102875805135
role,2242,4,9610,43.59067404517826
kind,1972,5,11582,52.53560736641567
relator,1508,6,13090,59.37585049442076
material,784,7,13874,62.932051165744355
componentOf,691,8,14565,66.06640660437267
category,661,9,15226,69.06468293567994
characterization,658,10,15884,72.0493513562551
roleMixin,653,11,16537,75.01133992561009
other_r,619,12,17156,77.81910550666787
mode,596,13,17752,80.52254377211285
event,591,14,18343,83.20330218633765
phase,450,15,18793,85.24448879615349
none_c,373,16,19166,86.93640569717863
derivation,292,17,19458,88.26090900843691
quality,284,18,19742,89.5491245577429
type,274,19,20016,90.79198040460854
participation,264,20,20280,91.98947654903384
memberOf,256,21,20536,93.15068493150685
collective,200,22,20736,94.05787898031389
datatype,127,23,20863,94.63394720130636
externalDependence,123,24,20986,95.1918715413227
creation,107,25,21093,95.67722035743445
other_c,104,26,21197,96.14896126281411
situation,103,27,21300,96.61616619794974
instantiation,97,28,21397,97.05615531162115
mixin,91,29,21488,97.46892860382836
enumeration,79,30,21567,97.82727025310713
manifestation,71,31,21638,98.14932414043363
historicalDependence,58,32,21696,98.41241041458768
historicalRole,51,33,21747,98.64374489703349
quantity,47,34,21794,98.85693549850313
subCollectionOf,41,35,21835,99.04291027850857
termination,39,36,21874,99.21981311802594
bringsAbout,39,37,21913,99.39671595754331
comparative,39,38,21952,99.57361879706069
triggers,21,39,21973,99.66887417218543
phaseMixin,20,40,21993,99.75959357706613
participational,18,41,22011,99.84124104145877
historicalRoleMixin,18,42,22029,99.9228885058514
subQuantityOf,14,43,22043,99.9863920892679
abstract,3,44,22046,100.0
