stereotype,total_correlation,rank
category,4.636470082314332,16
collective,4.627817758326083,17
datatype,2.493565449818617,31
event,7.1863073215354305,2
kind,5.349088317632182,10
mixin,2.630223302032915,29
mode,4.892688814170159,14
phase,3.153482493649829,25
quality,5.218751145019184,11
relator,3.935327940720673,23
role,4.117380969870549,20
roleMixin,4.342805113097422,18
situation,4.969672871261809,13
subkind,2.744372246652914,27
type,6.585553457500728,5
none_c,2.5919035952158063,30
other_c,2.7533835098354884,26
characterization,6.088368341029862,8
componentOf,3.1782740743637046,24
creation,5.634804821137761,9
derivation,4.1123903259742,21
externalDependence,6.151013851382492,7
historicalDependence,6.540179176719513,6
instantiation,6.773874354345158,4
manifestation,7.12783015497066,3
material,4.2146179687640055,19
mediation,4.8805386518435965,15
memberOf,4.051163282074413,22
participation,7.22286236659447,1
none_r,5.174157265516521,12
other_r,2.732370278735834,28
