stereotype,total_correlation,rank
category,4.217779767956468,10
event,5.46628245795547,1
kind,4.587192842425076,6
mode,4.338764187589063,8
phase,2.9595381439706325,19
quality,4.25221036936029,9
relator,4.2095598232978375,11
role,3.8548118435686347,13
roleMixin,3.6650312578237685,16
subkind,3.144871708118655,18
type,4.9239590303984375,4
none_c,2.4084745896144386,20
characterization,5.217327269511663,2
componentOf,3.368438827521369,17
derivation,3.7259398389275593,15
material,3.9068136006206298,12
mediation,4.907436765620805,5
memberOf,3.844446464107519,14
participation,5.2007240407488435,3
none_r,4.413284976652179,7
other_r,2.333165017465088,21
