stereotype,total_correlation,rank
category,2.825579897105407,20
collective,3.6138705816891905,13
datatype,1.6743025308813158,24
event,4.958492790873793,5
kind,4.74946263650159,6
mixin,1.96132006081768,23
mode,3.6830957188318614,12
phase,2.967311024578365,19
quality,3.4066043063893456,16
relator,3.7554708582593044,10
role,3.3864682475058387,18
situation,4.368214931878352,8
subkind,2.777031919039195,21
type,5.1408450663828384,2
characterization,4.507752681131916,7
creation,3.527118794422748,15
derivation,3.3889269677889153,17
formal,2.04816684931635,22
instantiation,5.135887824750087,4
manifestation,5.2455492821803755,1
material,3.537882531644647,14
mediation,4.279137785183849,9
participation,5.138635912177018,3
triggers,3.684223601564886,11
