Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4173613107214717,4,0.258128078817734
20.0,8,0.611095142282265,8,0.4669950738916256
30.0,12,0.7543834435182524,12,0.6137931034482759
40.0,16,0.8584363322793906,16,0.7310344827586207
50.0,20,0.9037079620580627,20,0.8147783251231527
60.0,24,0.9422247772348376,24,0.8837438423645321
70.0,28,0.9693877551020408,28,0.9349753694581281
80.0,32,0.984622017821213,32,0.9694581280788177
90.0,36,0.9942512216154067,36,0.9881773399014778
100.0,41,1.0,41,1.0
