stereotype,total_correlation,rank
category,3.6012316355717013,14
collective,3.689938129334629,12
datatype,1.4480326618802892,21
event,4.589015879726453,2
kind,4.503086228506243,6
mode,3.787192640604876,10
phase,3.332951078513524,18
quality,3.7861479400336444,11
relator,4.563457287615806,4
role,3.8431321815181203,9
situation,3.5509231445176583,15
subkind,3.6793537420958016,13
type,4.48745736791768,7
characterization,4.570536156652768,3
creation,3.4928125278339257,16
derivation,2.8125289630605352,19
formal,1.6338807083594973,20
instantiation,4.445145533838329,8
material,3.459900681600087,17
mediation,4.866780052336668,1
participation,4.509497980994209,5
