stereotype,total_correlation,rank
category,3.3951412852226124,22
collective,3.6463098604659736,19
datatype,2.288141683550058,27
event,4.898529681771818,9
kind,5.001130883458499,8
mixin,2.9774135295407773,25
mode,4.285295309825428,11
phase,2.956406576394811,26
quality,4.015697786674847,14
relator,3.869915212865977,16
role,3.472545581903808,21
roleMixin,3.531998717934246,20
situation,4.163775301350271,13
subkind,3.288438694014731,24
type,5.650927411315931,4
characterization,5.311984223040494,6
componentOf,3.758803676577152,18
creation,3.8296614624830587,17
derivation,3.3646823925841067,23
externalDependence,5.29155348235353,7
historicalDependence,5.380796929934299,5
instantiation,6.268925969486659,1
manifestation,6.019376703263171,2
material,3.9904014753990467,15
mediation,4.659999166705648,10
memberOf,4.164395749852853,12
participation,5.847172263641719,3
