Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,964,1,964,20.83423384482386
kind,878,2,1842,39.80981197320077
role,400,3,2242,48.45472228225633
event,320,4,2562,55.37065052950075
relator,312,5,2874,62.11368057056408
category,270,6,3144,67.94899502917657
mode,247,7,3391,73.28722714501838
quality,238,8,3629,78.43094877890641
roleMixin,234,9,3863,83.48822130970392
phase,195,10,4058,87.70261508536848
none,135,11,4193,90.62027231467474
datatype,78,12,4271,92.30602982494057
type,74,13,4345,93.90533823211584
situation,62,14,4407,95.24529933001945
collective,62,15,4469,96.58526042792306
other,40,16,4509,97.44975145882862
enumeration,38,17,4547,98.27101793818889
historicalRole,23,18,4570,98.76810028095959
phaseMixin,20,19,4590,99.20034579641236
mixin,16,20,4606,99.54614220877458
quantity,11,21,4617,99.7838772422736
historicalRoleMixin,9,22,4626,99.97838772422736
abstract,1,23,4627,100.0
