model,sortal,non_sortal,rigid,non_rigid,abstracts,temporal,other,none,rigid_sortal,rigid_non_sortal,non_rigid_sortal,non_rigid_non_sortal,undef
abel2015petroleum-system,15,1,12,4,6,7,0,0,12,0,3,1,0
abrahao2018agriculture-operations,17,3,20,0,0,0,2,0,17,3,0,0,2
aguiar2018rdbs-o,39,4,41,2,0,0,0,0,37,4,2,0,0
albuquerque2011ontobio,103,43,117,20,1,0,0,0,82,35,12,8,0
andersson2018value-ascription,0,1,1,0,0,5,7,0,0,1,0,0,7
barcelos2013normative-acts,42,0,42,0,3,0,0,0,42,0,0,0,0
barcelos2015transport-networks,430,57,225,262,0,0,0,0,193,32,237,25,0
brazilian-governmental-organizational-structures,11,4,12,3,0,0,0,0,8,4,3,0,0
carolla2014campus-management,17,0,12,5,0,0,0,0,12,0,5,0,0
castro2012cloudvulnerability,30,2,29,3,0,0,0,0,27,2,3,0,0
cmpo2017,24,7,15,16,0,22,0,2,11,4,13,3,2
dpo2017,18,4,19,3,0,18,0,0,16,3,2,1,0
ferreira2015ontoemergeplan,78,50,71,33,2,5,12,0,39,32,15,18,12
franco2018rpg,16,4,19,1,0,0,3,0,15,4,1,0,3
gailly2016value,2,0,2,0,0,2,8,0,2,0,0,0,8
grueau2013towards,0,0,0,0,0,0,6,7,0,0,0,0,13
guarino2016value,13,5,14,4,0,0,0,0,11,3,2,2,0
guarino2018rea,5,4,6,3,0,2,0,0,5,1,0,3,0
guizzardi2005ontological,32,9,28,13,2,0,0,0,21,7,11,2,0
junior2018o4c,9,0,9,0,2,0,0,0,9,0,0,0,0
kostov2017towards,18,1,9,8,0,23,10,6,8,1,8,0,16
laurier2018rea,17,6,13,10,0,0,0,0,13,0,4,6,0
martinez2013human-genome,10,0,7,3,0,0,0,0,7,0,3,0,0
mgic-antt2011,3391,354,2306,1417,15,0,0,0,2208,98,1161,256,0
nardi2015ufo-s,10,11,13,8,0,6,0,0,10,3,0,8,0
o3ontology2015,158,62,97,63,0,13,3,67,65,32,33,30,70
oliveira2007collaboration,9,4,12,1,1,2,4,0,9,3,0,1,4
pereira2015doacao-orgaos,20,5,11,14,0,0,0,0,8,3,12,2,0
quality-assurance-process-ontology2017,7,0,3,4,0,9,0,21,3,0,4,0,21
ramirez2015userfeedback,44,3,39,8,3,0,0,0,38,1,6,2,0
rodrigues2017urinary-profiles,25,8,16,17,0,15,15,0,14,2,11,6,15
sales2018competition,16,11,13,13,0,0,0,0,11,2,4,9,0
sales2018cover,19,25,29,13,0,19,0,0,17,12,0,13,0
services2015,19,14,23,10,0,0,0,91,19,4,0,10,91
silva2012itarchitecture,75,9,78,6,0,0,0,0,69,9,6,0,0
spmo2017,10,1,10,1,0,6,0,17,10,0,0,1,17
spo2017,48,10,31,8,0,17,0,34,24,7,5,3,34
zhou2017hazard-ontology-robotic-strolling,13,0,7,6,0,0,0,0,7,0,6,0,0
zhou2017hazard-ontology-train-control,25,0,15,10,0,0,0,0,15,0,10,0,0
