Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,974,1,974,20.626853028377806
kind,882,2,1856,39.30537907666243
role,418,3,2274,48.15756035578145
other,338,4,2612,55.31554426090639
event,338,5,2950,62.47352816603134
relator,313,6,3263,69.10207539178315
category,273,7,3536,74.8835239305379
mode,249,8,3785,80.15671325709445
quality,238,9,4023,85.19695044472681
phase,202,10,4225,89.47479881406184
none,135,11,4360,92.33375688267684
type,80,12,4440,94.0279542566709
datatype,79,13,4519,95.70097416349005
collective,64,14,4583,97.0563320626853
situation,62,15,4645,98.3693350275307
enumeration,49,16,4694,99.40703091910208
mixin,16,17,4710,99.74587039390089
quantity,11,18,4721,99.97882253282508
abstract,1,19,4722,100.0
historicalRole,0,20,4722,100.0
historicalRoleMixin,0,21,4722,100.0
phaseMixin,0,22,4722,100.0
roleMixin,0,23,4722,100.0
