stereotype,total_correlation,rank
category,4.055350407947675,11
datatype,2.2040079434916033,21
event,5.110073922099837,5
kind,5.468099056620999,4
mode,3.763196068950768,16
phase,3.269590643267885,19
quality,3.833636581945801,15
relator,4.282832739429756,10
role,4.030759914880162,12
roleMixin,3.8765412079693915,14
situation,4.819489131874948,8
subkind,3.669224120559989,17
type,6.36255913654136,1
characterization,4.9794013661086325,6
componentOf,4.020168652480075,13
derivation,3.238854124578988,20
externalDependence,4.83749918275438,7
instantiation,6.300107403454025,2
material,3.5528529027151516,18
mediation,4.536026727679079,9
participation,5.711847882996078,3
