Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.39161003046636983,4,0.26666666666666666
20.0,8,0.6055776892430279,8,0.4812121212121212
30.0,12,0.7567377548629013,12,0.6303030303030303
40.0,16,0.8523552847433794,16,0.7442424242424243
50.0,20,0.909772674009843,20,0.8278787878787879
60.0,24,0.9482071713147411,24,0.8957575757575758
70.0,28,0.9756269041481135,28,0.9503030303030303
80.0,32,0.9920318725099602,32,0.9806060606060606
90.0,36,0.9992969299273494,36,0.9963636363636363
100.0,40,1.0,40,1.0
