stereotype,total_correlation,rank
category,4.079584702898972,22
collective,3.881767464576182,26
datatype,2.6384234640043642,30
event,6.267833446405755,8
kind,6.636101859241762,5
mixin,2.702650271570945,29
mode,4.36841661551776,20
phase,3.7402262756956013,27
phaseMixin,3.575047631087016,28
quality,4.257032139194217,21
relator,4.67818353685068,16
role,4.372168359031756,19
roleMixin,4.390557865776908,18
situation,6.076433836619637,9
subkind,3.950268882554126,24
type,7.552422779083884,2
bringsAbout,6.542202674839683,6
characterization,5.447154454288644,12
componentOf,4.535870665475645,17
creation,4.85577667898083,14
derivation,3.9251606445417426,25
externalDependence,5.635176192665715,10
historicalDependence,6.501740106916591,7
instantiation,7.693885033333283,1
manifestation,7.195754672832075,3
material,4.001737333238552,23
mediation,5.248264999972966,13
memberOf,4.7551686568073945,15
participation,6.955946998177164,4
triggers,5.608118242845166,11
