Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.35086810054418244,2,0.2267605633802817
20.0,4,0.5447006996631252,4,0.4295774647887324
30.0,6,0.7001813941435605,6,0.5929577464788732
40.0,8,0.8092770147706659,8,0.7183098591549296
50.0,10,0.8916817828452968,10,0.8140845070422535
60.0,12,0.9334024358642136,12,0.8788732394366198
70.0,14,0.9644985747603005,14,0.9338028169014084
80.0,16,0.9828971236071521,16,0.967605633802817
90.0,18,0.9932625032391811,18,0.9887323943661972
100.0,21,1.0,21,1.0
