Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.5622261174408414,2,0.3057228915662651
20.0,4,0.7234881682734443,4,0.5105421686746988
30.0,6,0.85056967572305,6,0.6671686746987951
40.0,8,0.908851884312007,8,0.7966867469879518
50.0,10,0.9458808063102542,10,0.8629518072289156
60.0,12,0.967353198948291,12,0.9066265060240963
70.0,14,0.9822524101665207,14,0.9457831325301205
80.0,16,0.9925503943908852,16,0.9759036144578314
90.0,18,0.9989044697633654,18,0.9939759036144579
100.0,21,1.0,21,1.0
