year,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none,other
2005,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1
2013,0,8,0,18,0,19,0,0,0,0,26,34,19,0,0,7,0,0,0,8,20
2014,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
2015,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1
2016,0,2,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,2,2
2017,0,1,0,2,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,7,2
2018,1,4,0,3,0,1,1,1,1,1,3,6,2,1,0,0,0,0,1,9,2
2019,0,4,0,2,0,3,0,1,1,1,3,6,3,1,0,0,0,0,0,7,5
2020,0,6,0,3,2,5,2,0,2,1,4,7,0,3,0,0,0,0,2,14,5
2021,4,14,1,7,3,6,6,3,4,4,10,13,3,6,1,0,0,0,2,17,4
2022,2,10,0,4,4,7,6,6,5,2,8,13,2,5,1,0,0,1,2,14,2
2023,2,10,2,7,4,6,3,0,1,1,5,13,6,4,0,0,0,1,1,11,1
2024,2,4,2,2,1,1,1,3,1,2,3,3,1,3,0,0,0,0,1,3,1
