Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
none,1640,1,1640,35.90978760674403
mediation,929,2,2569,56.251368513247215
material,397,3,2966,64.9441646595139
characterization,339,4,3305,72.36698051237136
componentOf,295,5,3600,78.82636303919422
other,285,6,3885,85.06678344646376
derivation,150,7,4035,88.35121523976352
participation,116,8,4151,90.891175826582
memberOf,98,9,4249,93.0370045982045
externalDependence,71,10,4320,94.59163564703307
instantiation,63,11,4383,95.97109700021896
historicalDependence,35,12,4418,96.73746441865558
creation,34,13,4452,97.48193562513686
manifestation,34,14,4486,98.22640683161814
bringsAbout,26,15,4512,98.79570834245676
subCollectionOf,21,16,4533,99.25552879351872
triggers,15,17,4548,99.5839719728487
comparative,14,18,4562,99.89051894022334
termination,3,19,4565,99.95620757608934
participational,2,20,4567,100.0
subQuantityOf,0,21,4567,100.0
