stereotype,total_correlation,rank
category,3.253965569419142,12
event,3.3416985819575853,10
kind,3.8527829089891323,5
mode,3.6256256946791803,6
phase,3.0694193358140636,13
quality,3.570629939590548,8
relator,4.39563148320047,2
role,3.2609687564792553,11
subkind,3.5890701640673166,7
none_c,1.8636863072338752,18
other_c,2.3186725960221763,16
characterization,4.252666662014196,3
derivation,2.35559834528996,15
material,3.403342486775024,9
mediation,4.451753282126124,1
participation,3.0223034368701214,14
none_r,2.063795092203008,17
other_r,4.044237589472917,4
