Stereotype,abstract,category,collective,datatype,enumeration,event,historicalRole,historicalRoleMixin,kind,mixin,mode,phase,phaseMixin,quality,quantity,relator,role,roleMixin,situation,subkind,type,none_c,other_c,bringsAbout,characterization,comparative,componentOf,creation,derivation,externalDependence,formal,historicalDependence,instantiation,manifestation,material,mediation,memberOf,participation,participational,subCollectionOf,subQuantityOf,termination,triggers,none_r,other_r
abstract,0.06458143637762698,0.06458143637762749,0.0040342394384781655,0.003448628164879286,0.0007351046739784567,0.048077932078580875,0.0,0.0,0.0258810824024552,0.0020147182052678153,0.024688614105703492,0.005986710216515971,0.0,0.028698563877013958,0.0010423456517636986,0.01731590224765782,0.014598059075790468,0.0,0.04807793207858149,0.01731590224765761,0.04184878750995586,0.041848787509955875,0.04807793207858113,0.0,0.024688614105703437,0.0007351046739784567,0.0,0.03479557783368803,0.005079214076257409,0.0,0.0018470399583113625,0.0,0.04807793207858147,0.041848787509955875,0.04807793207858047,0.013663753120980227,0.0,0.041848787509955326,0.0005844074607722419,0.0,0.0,0.0005844074607722419,0.0013577266381667938,0.03780357234816032,0.03780357234816041
category,0.06458143637762749,2.1844731077333583,0.3847956310807463,0.4241461636665463,0.09930841496233452,0.7643761613465445,0.0,0.0,1.1677791662285208,0.13299554209914774,0.6974724700028236,0.5378538689562622,0.0,0.6975172897726475,0.09357716500484169,0.6613099890027389,0.8580844619181267,0.0,0.37595035672897215,1.1787228179548648,0.4822376224895117,0.39141863884403816,0.6658910033560798,0.0,0.9381465160388864,0.12855320099589113,0.0,0.35467477972752237,0.3090816705052724,0.0,0.20357013590539452,0.0,0.4255134076983594,0.30349413527330993,0.6314741916948217,0.8328507072419217,0.0,0.5603267344108512,0.0994011554632908,0.0,0.0,0.09317201089466523,0.20880891100235585,1.3935552775661382,0.9615072769606858
collective,0.0040342394384781655,0.3847956310807463,1.0341256441206328,0.1953206490708425,0.0643471511272046,0.3293129833495035,0.0,0.0,0.585926702111503,0.031355628964512314,0.3120021920230746,0.3906928098139756,0.0,0.192878544113147,0.11595408261213447,0.43053513371610935,0.40921759010549874,0.0,0.06755238799959251,0.6020622777591498,0.24388779211458522,0.10856889586016871,0.28273542320268824,0.0,0.416898437298184,0.025287233461328634,0.0,0.20739401004601005,0.22118111150543496,0.0,0.15387870150605054,0.0,0.20783396048602829,0.07962262163009898,0.3951522533020114,0.6420662805275952,0.0,0.3063006822475436,0.0764253435972751,0.0,0.0,0.04054247109666209,0.03856471575273332,0.6455210616991491,0.5700638821787064
datatype,0.003448628164879286,0.4241461636665463,0.1953206490708425,1.001486098392328,0.16719858876965754,0.34601690565681553,0.0,0.0,0.5527513571916524,0.0546325686937442,0.2844224396041206,0.3046259397735559,0.0,0.2298428988205768,0.10338657472151708,0.3281432349208846,0.3653501558595565,0.0,0.15705209537195075,0.5172166256387042,0.16891260686716333,0.13460941244682081,0.335202359148464,0.0,0.35032355057988107,0.13741273022571782,0.0,0.1632876547709956,0.1363596041754322,0.0,0.1079014813237617,0.0,0.21946956602661855,0.10385626616196655,0.3434763856652443,0.46049744207959165,0.0,0.2521647664083433,0.0599201915242888,0.0,0.0,0.12086097912218988,0.05512011461310117,0.6540884430047129,0.4656683562029864
enumeration,0.0007351046739784567,0.09930841496233452,0.0643471511272046,0.16719858876965754,0.3214551280707574,0.09363069997740839,0.0,0.0,0.19347230884018204,0.010347291211360604,0.0714171462043995,0.12704605867630647,0.0,0.10385977484943341,0.04146918929246806,0.12926289831572801,0.1479153667112924,0.0,0.04383383769354953,0.19331753572846283,0.12098923483813126,0.012111896139900998,0.11666887651557115,0.0,0.09643923216265828,0.06699355866990699,0.0,0.04676609299533675,0.053806013142493066,0.0,0.048800614712839,0.0,0.11365238201051733,0.044755399551043844,0.1530894973776704,0.14482659369133266,0.0,0.05410949196807835,0.0029965297530514315,0.0,0.0,0.04987547005564678,0.006967728406850678,0.18860302857074468,0.14076910907334758
event,0.048077932078580875,0.7643761613465445,0.3293129833495035,0.34601690565681553,0.09363069997740839,1.8855772330343714,0.0,0.0,0.9803626064610624,0.0962929648407161,0.6498050841075019,0.6035430071618921,0.0,0.603334326758926,0.19359963199799965,0.7358138485070082,0.7357169832855399,0.0,0.5466554341277129,0.9478117343192125,0.5434377614207183,0.29919283451501727,0.8330787195717984,0.0,0.9012549113297618,0.1950796378025524,0.0,0.7544306476866193,0.3555162866429913,0.0,0.2264370952435211,0.0,0.4934610007922468,0.42013672122623513,0.6252012509789977,0.8970843949986026,0.0,1.0042278666580162,0.20171844168813813,0.0,0.0,0.1884360874432447,0.29453305928017826,1.3363054664360858,1.073458288462718
historicalRole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historicalRoleMixin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kind,0.0258810824024552,1.1677791662285208,0.585926702111503,0.5527513571916524,0.19347230884018204,0.9803626064610624,0.0,0.0,3.0033965356172816,0.20331445608558468,0.9505862492536459,0.9167665380308295,0.0,0.9501055124643191,0.23527367136414343,1.2840526510530712,1.4124744042537238,0.0,0.38771740509392294,1.7974202648434021,0.45805950479947605,0.48364941144600004,0.9206872905579556,0.0,1.3025848371095188,0.22161003716883718,0.0,0.5073043942802853,0.630083850135672,0.0,0.26520959823073825,0.0,0.4413955082826843,0.2833612327450691,1.0345989645825782,1.3730758477970224,0.0,0.7307682190547229,0.151597019223037,0.0,0.0,0.1382920224783767,0.1903201095645971,2.0349853733223475,1.3459928960363827
mixin,0.0020147182052678153,0.13299554209914774,0.031355628964512314,0.0546325686937442,0.010347291211360604,0.0962929648407161,0.0,0.0,0.20331445608558468,0.514483952820954,0.12779347517199896,0.1354192157009616,0.0,0.20322970429272386,0.020992509504206405,0.16621125705265455,0.24543238770613476,0.0,0.024834183698309073,0.26432706240038006,0.040525757228879994,0.10665540042074474,0.09202145652406771,0.0,0.241317408314904,0.04948598193238682,0.0,0.034235676861256836,0.0814220515840022,0.0,0.05482228596070564,0.0,0.04366663503378038,0.06254070293730574,0.14402318251983928,0.2248827464064348,0.0,0.0771332284533024,0.00822160188320327,0.0,0.0,0.00822160188320327,0.018855319542252877,0.2650927450800615,0.166002429594058
