stereotype,total_correlation,rank
category,4.1869485598192115,25
collective,4.971125565838626,19
datatype,2.486912887126198,33
event,6.8987391391656905,5
kind,6.578739022493766,7
mixin,2.850360007378793,32
mode,5.2605108853920255,15
phase,3.8829002830393042,27
quality,4.683908315129358,21
relator,4.997858905873513,18
role,4.64851919155395,22
roleMixin,4.476767089496536,23
situation,6.025873832679529,10
subkind,3.93772089561808,26
type,7.038550494624928,3
none_c,2.905585491443033,31
other_c,3.6732833998610905,28
bringsAbout,6.4033510392283715,8
characterization,6.095211280882523,9
componentOf,4.826361990781498,20
creation,5.19440031752654,16
derivation,4.373219367156578,24
externalDependence,5.664140039643044,13
historicalDependence,6.604769223205097,6
instantiation,7.080974592141715,2
manifestation,7.009391565757587,4
material,5.045025977935307,17
mediation,5.728093362164838,12
memberOf,6.022969704413844,11
participation,7.218749112712976,1
triggers,5.3810614260385154,14
none_r,2.963846815211859,30
other_r,3.237697573562423,29
