Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,29,1,29,33.33333333333333
none_r,14,2,43,49.42528735632184
kind,11,3,54,62.06896551724138
componentOf,11,4,65,74.71264367816092
characterization,6,5,71,81.60919540229885
quality,6,6,77,88.50574712643679
category,5,7,82,94.25287356321839
role,3,8,85,97.70114942528735
relator,2,9,87,100.0
datatype,0,10,87,100.0
collective,0,11,87,100.0
abstract,0,12,87,100.0
phase,0,13,87,100.0
mode,0,14,87,100.0
mixin,0,15,87,100.0
historicalRoleMixin,0,16,87,100.0
event,0,17,87,100.0
historicalRole,0,18,87,100.0
enumeration,0,19,87,100.0
quantity,0,20,87,100.0
situation,0,21,87,100.0
roleMixin,0,22,87,100.0
type,0,23,87,100.0
none_c,0,24,87,100.0
bringsAbout,0,25,87,100.0
other_c,0,26,87,100.0
comparative,0,27,87,100.0
phaseMixin,0,28,87,100.0
creation,0,29,87,100.0
derivation,0,30,87,100.0
historicalDependence,0,31,87,100.0
externalDependence,0,32,87,100.0
manifestation,0,33,87,100.0
material,0,34,87,100.0
mediation,0,35,87,100.0
instantiation,0,36,87,100.0
memberOf,0,37,87,100.0
participation,0,38,87,100.0
subCollectionOf,0,39,87,100.0
participational,0,40,87,100.0
subQuantityOf,0,41,87,100.0
termination,0,42,87,100.0
triggers,0,43,87,100.0
other_r,0,44,87,100.0
