Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.33132328308207704,2,0.21691176470588236
20.0,4,0.5065326633165829,4,0.40441176470588236
30.0,6,0.6395309882747069,6,0.5569852941176471
40.0,9,0.792964824120603,9,0.7297794117647058
50.0,11,0.8760469011725294,11,0.8106617647058824
60.0,13,0.9195979899497487,13,0.8713235294117647
70.0,16,0.9644891122278056,16,0.9375
80.0,18,0.983249581239531,18,0.96875
90.0,20,0.9946398659966499,20,0.9852941176470589
100.0,23,1.0,23,1.0
