Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
subkind,503,1,503,16.850921273031826
kind,486,2,989,33.132328308207704
role,305,3,1294,43.3500837520938
relator,218,4,1512,50.65326633165829
category,210,5,1722,57.68844221105528
event,187,6,1909,63.95309882747069
roleMixin,177,7,2086,69.88274706867672
phase,150,8,2236,74.90787269681742
quality,131,9,2367,79.2964824120603
none,124,10,2491,83.45058626465661
mode,124,11,2615,87.60469011725294
type,66,12,2681,89.81574539363484
datatype,64,13,2745,91.95979899497488
situation,56,14,2801,93.8358458961474
other,40,15,2841,95.17587939698493
enumeration,38,16,2879,96.44891122278057
collective,33,17,2912,97.55443886097153
historicalRole,23,18,2935,98.3249581239531
phaseMixin,20,19,2955,98.99497487437185
mixin,14,20,2969,99.46398659966499
historicalRoleMixin,9,21,2978,99.76549413735344
quantity,6,22,2984,99.96649916247907
abstract,1,23,2985,100.0
