Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
mediation,63,1,63,17.073170731707318
characterization,55,2,118,31.978319783197833
material,41,3,159,43.08943089430895
componentOf,32,4,191,51.76151761517615
derivation,29,5,220,59.62059620596206
participation,24,6,244,66.12466124661248
memberOf,20,7,264,71.54471544715447
externalDependence,20,8,284,76.96476964769647
instantiation,15,9,299,81.02981029810297
creation,14,10,313,84.82384823848238
historicalDependence,14,11,327,88.6178861788618
manifestation,12,12,339,91.869918699187
bringsAbout,11,13,350,94.85094850948511
triggers,9,14,359,97.289972899729
comparative,4,15,363,98.3739837398374
participational,2,16,365,98.91598915989161
subCollectionOf,2,17,367,99.45799457994579
termination,2,18,369,100.0
subQuantityOf,0,19,369,100.0
