Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.3554421768707483,2,0.22556390977443608
20.0,4,0.5391156462585034,4,0.42105263157894735
30.0,6,0.6826530612244898,6,0.5789473684210527
40.0,8,0.7948979591836735,8,0.7030075187969925
50.0,10,0.8877551020408163,10,0.8101503759398496
60.0,12,0.9319727891156463,12,0.8759398496240601
70.0,14,0.9639455782312926,14,0.9323308270676691
80.0,16,0.9829931972789115,16,0.9680451127819549
90.0,18,0.9945578231292517,18,0.9849624060150376
100.0,21,1.0,21,1.0
