stereotype,total_correlation,rank
category,3.887362020820704,11
event,3.440915378183907,14
kind,4.581934156428717,4
mode,4.465191974854766,6
phase,3.160343528518112,17
quality,3.037709226103159,18
relator,4.820657828040756,2
role,3.937423528976221,10
roleMixin,3.6580713773987217,12
subkind,4.128990219135433,9
type,3.5765079084377724,13
none_c,1.8226370377474757,21
characterization,4.7935260833678095,3
componentOf,4.297778808855438,8
derivation,3.2932303245220345,15
material,4.314602413826518,7
mediation,5.53530994305292,1
memberOf,4.554365625984351,5
participation,3.2472998947815395,16
none_r,2.4652980768160866,19
other_r,2.146644191677479,20
