Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,4,0.4423593964334705,4,0.25312294543063774
20.0,8,0.663923182441701,8,0.46022353714661407
30.0,13,0.8153086419753086,13,0.63379355687048
40.0,17,0.8941563786008231,17,0.7383300460223537
50.0,22,0.9478189300411523,22,0.8349769888231426
60.0,26,0.9676268861454047,26,0.8928336620644313
70.0,30,0.9823868312757201,30,0.9388560157790927
80.0,35,0.9927572016460905,35,0.9743589743589743
90.0,39,0.9975308641975309,39,0.9901380670611439
100.0,44,1.0,44,1.0
