stereotype,total_correlation,rank
category,3.7877474470199157,13
event,3.95814759347214,11
kind,4.803093057119428,4
mode,4.782946539311236,5
phase,3.5141933697493966,18
quality,3.5169107083227127,17
relator,4.664345776292669,6
role,3.796165746431951,12
roleMixin,3.697872773197564,15
subkind,3.7132536654851993,14
type,4.242930104697513,9
none_c,2.08148157522701,21
characterization,5.228211207395279,2
componentOf,4.328223128791872,8
derivation,3.624761809688425,16
material,4.328512426141747,7
mediation,5.578552692463602,1
memberOf,5.10664060801281,3
participation,4.001336944108177,10
none_r,2.390580118321154,20
other_r,2.5472495914124647,19
