stereotype,total_correlation,rank
category,4.404981837780855,20
collective,4.65097004267341,18
datatype,2.604774515962296,31
event,6.324025469229069,7
kind,5.286405405221538,13
mixin,2.960062784686316,28
mode,5.55973869996816,10
phase,3.394001392254544,25
quality,4.667315154713697,17
relator,4.230515379615792,21
role,3.8932096622069574,24
roleMixin,4.691183058841356,16
situation,4.950482671218298,15
subkind,3.3544245524556775,26
type,6.5724426003971494,5
none_c,2.0502035446038787,32
other_c,3.2034573350267896,27
bringsAbout,5.74847881283431,9
characterization,6.677891976103182,3
componentOf,3.9050186392434156,23
creation,5.416433298715048,11
derivation,3.957317849878044,22
externalDependence,5.926245555142315,8
historicalDependence,6.586733540529028,4
instantiation,6.547724636451578,6
manifestation,7.073887545400471,2
material,4.410364881945328,19
mediation,5.356658734732529,12
memberOf,5.201483895907675,14
participation,7.209178375399624,1
none_r,2.677958367210443,30
other_r,2.8100850431420574,29
