Stereotype,Group-wise Frequency,Group-wise Rank,Cumulative Group-wise Frequency,Group-wise Cumulative Percentage
none_r,105,1,105,6.903353057199212
kind,101,2,206,13.543721236028928
relator,91,3,297,19.526627218934912
subkind,88,4,385,25.312294543063775
category,86,5,471,30.96646942800789
role,84,6,555,36.489151873767256
mediation,77,7,632,41.55161078238001
characterization,68,8,700,46.022353714661406
mode,58,9,758,49.83563445101907
roleMixin,54,10,812,53.385930309007236
material,54,11,866,56.9362261669954
event,53,12,919,60.420775805391195
componentOf,45,13,964,63.379355687048
quality,44,14,1008,66.27218934911244
phase,41,15,1049,68.96778435239975
derivation,39,16,1088,71.5318869165023
collective,35,17,1123,73.83300460223538
other_r,35,18,1158,76.13412228796844
memberOf,31,19,1189,78.17225509533202
participation,29,20,1218,80.07889546351085
type,26,21,1244,81.78829717291256
datatype,26,22,1270,83.49769888231427
none_c,23,23,1293,85.00986193293886
externalDependence,22,24,1315,86.45627876397107
mixin,22,25,1337,87.9026955950033
situation,21,26,1358,89.28336620644313
other_c,19,27,1377,90.53254437869822
creation,18,28,1395,91.71597633136095
instantiation,17,29,1412,92.8336620644313
historicalDependence,16,30,1428,93.88560157790927
quantity,12,31,1440,94.67455621301775
bringsAbout,12,32,1452,95.46351084812623
manifestation,12,33,1464,96.25246548323472
triggers,10,34,1474,96.90992767915844
phaseMixin,8,35,1482,97.43589743589743
enumeration,8,36,1490,97.96186719263642
subCollectionOf,6,37,1496,98.35634451019067
comparative,6,38,1502,98.7508218277449
historicalRole,4,39,1506,99.0138067061144
participational,4,40,1510,99.27679158448389
subQuantityOf,4,41,1514,99.5397764628534
historicalRoleMixin,3,42,1517,99.7370151216305
termination,3,43,1520,99.93425378040762
abstract,1,44,1521,100.0
