Percentage,Top k Stereotypes (Occurrence-wise),Coverage (Occurrence-wise),Top k Stereotypes (Group-wise),Coverage (Group-wise)
10.0,2,0.32463622679377824,2,0.2181571815718157
20.0,4,0.5022579026593076,4,0.41192411924119243
30.0,6,0.6490215755143001,6,0.5663956639566395
40.0,9,0.7962870045158054,9,0.7344173441734417
50.0,11,0.8760662318113397,11,0.8116531165311653
60.0,13,0.9177119919719017,13,0.8658536585365854
70.0,16,0.9656297039638736,16,0.9363143631436315
80.0,18,0.9834420471650778,18,0.9688346883468835
90.0,20,0.9934771700953337,20,0.989159891598916
100.0,23,1.0,23,1.0
